,Shift_name,staff,start_num,end_num,len,start,end
0,Shift-156,4,13,27,14,2023-01-01T05:45:00.000,2023-01-01T14:00:00.000
1,Shift-170,4,27,41,14,2023-01-01T13:15:00.000,2023-01-01T21:15:00.000
2,Shift-561,4,41,61,20,2023-01-01T20:30:00.000,2023-01-02T06:30:00.000
3,Shift-440,4,61,79,18,2023-01-02T05:45:00.000,2023-01-02T15:30:00.000
4,Shift-42,4,79,91,12,2023-01-02T14:45:00.000,2023-01-02T22:15:00.000
5,Shift-455,4,91,109,18,2023-01-02T21:30:00.000,2023-01-03T07:00:00.000
6,Shift-458,4,109,127,18,2023-01-03T06:15:00.000,2023-01-03T15:30:00.000
7,Shift-64,4,127,139,12,2023-01-03T14:45:00.000,2023-01-03T22:15:00.000
8,Shift-473,4,139,157,18,2023-01-03T21:30:00.000,2023-01-04T07:00:00.000
9,Shift-476,4,157,175,18,2023-01-04T06:15:00.000,2023-01-04T15:30:00.000
10,Shift-86,4,175,187,12,2023-01-04T14:45:00.000,2023-01-04T22:15:00.000
11,Shift-491,4,187,205,18,2023-01-04T21:30:00.000,2023-01-05T07:00:00.000
12,Shift-494,4,205,223,18,2023-01-05T06:15:00.000,2023-01-05T15:30:00.000
13,Shift-108,4,223,235,12,2023-01-05T14:45:00.000,2023-01-05T22:15:00.000
14,Shift-635,4,235,255,20,2023-01-05T21:30:00.000,2023-01-06T07:30:00.000
15,Shift-388,4,255,271,16,2023-01-06T06:45:00.000,2023-01-06T15:30:00.000
16,Shift-130,4,271,283,12,2023-01-06T14:45:00.000,2023-01-06T22:15:00.000
17,Shift-653,4,283,303,20,2023-01-06T21:30:00.000,2023-01-07T07:30:00.000
18,Shift-406,4,303,319,16,2023-01-07T06:45:00.000,2023-01-07T15:30:00.000
19,Shift-152,4,319,331,12,2023-01-07T14:45:00.000,2023-01-07T22:15:00.000
20,Shift-545,4,331,13,18,2023-01-07T21:30:00.000,2023-01-01T06:30:00.000
